StoreID,Name,YearOpened,Street,City,State,ZipCode,Hours,Email,PhoneNumber,StillInBusiness
S036,Wishing Tree Books,2019,1410 E 11th Ave,Spokane,WA,99202,10-5PM,books@wishingtreebookstore.com,509-315-9875,
S038,Jupiter's Eye Book Cafe,2025,411 W 1st Ave,Spokane,WA,99201,10-8PM,jupiterseyebookcafe@gmail.com,,
S039,North Bank Books,,74 SW Russell Ave. ,Stevenson,WA,98648,10-5PM,northbankbooks@gmail.com,509-219-0602,Yes
S040,Dightman's Bible Book Center,,2941 S 38th St #B,Tacoma,WA,98409,10-6PM,dbbc@dightmans.com,253-475-0990,Yes
S041,Vintage Books,1975,6613 E Mill Plain Blvd,Vancouver,WA,98661,10-6PM,books@vintage-books.com,360-694-9519,Yes
S042,Earthlight Books,1973,321 E Main S,Walla Walla,WA,99362,10-6PM,earthlightbooks@hotmail.com,509-525-4983,Yes
S043,Book and Game Company,1989, 38 E Main St Suite 101,Walla Walla,WA,99362,10-7PM,info@bookandgame.com,509-529-9963,Yes
S044,Wanderlust Book Lounge,,10202 NE 185th St,Bothell,WA,98011,11-6PM,hello@wanderlustbooklounge.com,425-205-9643,Yes
S045,Math 'n' Stuff,1993,8926 Roosevelt Way NE,Seattle,WA,98115,10:51 - 6:01PM,,206-522-8891,Yes
S046,Little Mountain Books and Botanica,,613 W Division St,Mount Vernon,WA,98273,12-5PM,lilmtnbooks@gmail.com,360-333-6817,Yes
S047,The Lakewood Bookstore,2024,11017 Bridgeport Way Southwest,Lakewood,WA,98499,10-6PM,info@thelakewoodbookstore.com,253-625-7913,Yes
S048,Harbor Books,2017, 720 Simpson Ave,Hoquiam,WA,98550,11-5PM,booksontheharbor@gmail.com,360-836-1613,Yes
S049,Hi Voltage Books and Records,2005,2714 6th Ave,Tacoma,WA,98406,10-7PM,info@hivoltagerecords.com,253-627-4278,Yes
S050,Couth Buzzard,1988,8310 Greenwood Ave N,Seattle,WA,98103,10-9PM,couthbuzzard@gmail.com,206-436-2960,Yes
S051,The Romance Era Bookshop,2024,608 N Devine Rd,Vancouver,WA,98661,11-5PM,theromanceera@gmail.com,360-553-1132,Yes
S052,Kittitas Books,1953,307 Main St,Cle Elum,WA,98934,11-5PM,,509-962-9195,Yes
S053,Giant Nerd Books,2005,607 W Garland Ave,Spokane,WA,99205,12-6PM,giantnerdbooks @gmail.com,509-868-0420,Yes
S054,William James Bookseller,1987,829 Water St,Port Townsend,WA,98368,11-5PM,books@WilliamJamesBookseller.com,360-385-7313,Yes
S055,Kiss The Sky Books,,401 Main St,Sultan,WA,98294,9-6PM,kisstheskybooks@gmail.com,360-243-3608,Yes
S056,We Be Book'n,2022,19602 US-2,Monroe,WA,98272,9-5PM,bookstoremonroe@gmail.com,360-863-2546,Yes
S057,Peruse the Stacks,2020,14308 42nd Ave Ct NW,Gig Harbor,WA,98332,By appointment only! ,info@perusethestacks.com,253-232-2745,Yes
